buoyid,name,lat,lon,N_obs,first_obs,last_obs,source
045,Kruseter,59.133,11.528,1086,2020-06-08,2021-09-23,badevann.no
92,Riskedalsvatnet,59.15861,6.19068,116,2021-10-06,2021-10-18,badetassen.no
43,Tinnemyra,59.58337,9.29329,3766,2021-10-06,2022-03-18,badetassen.no
96,Kringstadbukta,62.733716,7.083187,639,2021-10-06,2022-03-30,badetassen.no
007,Kalvøya,59.8815,10.5415,3758,2016-06-17,2021-10-18,badevann.no
1-197222,Raudsand,62.83702,8.12459,24,2021-12-28,2022-03-28,yr.no
1-2722252,Nordre Fuglevik,59.39312,10.65114,16,2022-01-20,2022-03-24,yr.no
13,Vaulen,58.926347,5.750357,4033,2021-10-06,2022-03-30,badetassen.no
37,Geitvågen Camping,67.3449,14.52015,2297,2021-10-06,2022-01-12,badetassen.no
56,Raudvigå,58.76756,5.83113,995,2021-10-06,2021-11-18,badetassen.no
1-201405,Kristiansund,63.11045,7.72795,11,2021-11-01,2022-03-23,yr.no
1-73241,Bondivatnet,59.82356,10.43264,15,2021-10-14,2021-12-04,yr.no
15,Godalen,58.95328,5.7565,3990,2021-10-06,2022-03-30,badetassen.no
0-10056,Springvannsstemmen,58.24744,8.37392,583,2022-03-01,2022-03-29,Lillesand kommune
93,Sandebukta,59.23308,6.163875,607,2021-10-06,2022-03-29,badetassen.no
46,Landfalltjern,59.769695,10.166689,1077,2021-10-06,2022-03-03,badetassen.no
95,Hjertøya,62.717889,7.169704,4030,2021-10-06,2022-03-30,badetassen.no
1-51113,Sandeid,59.54441,5.86229,23,2021-10-05,2022-03-24,yr.no
65,Holmennokken,59.738625,10.217581,1925,2021-10-06,2022-03-30,badetassen.no
1-92769,Nordåsvannet,60.31977,5.31005,15,2021-10-09,2022-03-13,yr.no
10,Sjøbadet,63.43577,10.39061,395,2021-10-25,2021-12-06,badetassen.no
20,Møllebukta,58.94101,5.67038,3151,2021-10-06,2022-03-29,badetassen.no
114,Stora Stokkavatnet,58.96031,5.679755,2632,2021-10-06,2022-03-18,badetassen.no
1-2284236,Hallandvik,58.07046,7.74336,16,2021-10-08,2021-10-26,yr.no
111,Kvitsandvika,63.58023,10.80266,334,2021-10-06,2022-03-29,badetassen.no
127,Bortelidtjønna,58.818906,7.471262,43,2021-10-06,2021-10-18,badetassen.no
90,Nesvik,59.262487,6.159887,281,2021-10-06,2021-10-18,badetassen.no
52,Mobrua,60.693265,8.924298,186,2021-10-06,2021-10-14,badetassen.no
57,Solastranden,58.877579,5.600898,3962,2021-10-06,2022-03-30,badetassen.no
81,Toke Brygge,59.0977,9.0674,24,2021-10-06,2021-10-12,badetassen.no
0-10007,Ringshaugstranda,59.27652,10.49354,11,2022-03-04,2022-03-29,yr.no
1-305464,Telegrafbukta,69.63182,18.90584,20,2021-10-08,2022-03-27,yr.no
1-73316,Sjøstrand,59.79751,10.49165,41,2021-10-17,2022-03-28,yr.no
129,Sandnessjøen havsbad,65.989325,12.623672,105,2021-10-06,2021-11-04,badetassen.no
110,Storvika,63.47091,10.88002,564,2021-10-06,2022-03-07,badetassen.no
1-332552,Klopp,59.25864,10.47528,25,2021-10-05,2022-03-23,yr.no
1-251891,Botnfjorden,66.00586,12.67697,17,2021-10-06,2022-03-26,yr.no
131,Våge,60.04435,5.52463,594,2021-10-06,2022-03-30,badetassen.no
85,Valplassen,66.371265,12.359083,2136,2021-08-11,2022-01-07,badetassen.no
10-988926,Mariusbrygga,59.04412,10.04509,68,2021-10-04,2022-03-19,yr.no
1-46628,Rørestrand,59.39842,10.47995,15,2021-11-14,2022-03-14,yr.no
1-73595,Sognsvann,59.97499,10.72891,42,2021-10-08,2022-03-29,yr.no
11,Munkholmen,63.45138,10.38479,3982,2021-10-06,2022-03-30,badetassen.no
106,Namsos Camping,64.47385,11.58126,112,2021-10-06,2021-11-04,badetassen.no
34,Sota fjordpark,59.726017,10.256319,1326,2021-10-06,2022-03-30,badetassen.no
1-2387584,Kvalvik,67.30298,14.39952,20,2021-10-10,2022-03-12,yr.no
32,Blekktjern,59.72522,10.18897,1349,2021-10-06,2022-03-30,badetassen.no
11-19320,Bjønnesstranda,59.0366,10.12337,59,2021-10-07,2022-03-29,yr.no
55,Gunnarsholmen,58.86498,9.41161,614,2021-10-06,2021-11-01,badetassen.no
94,Retiro,62.738783,7.216942,667,2021-10-06,2022-03-30,badetassen.no
72,Mobergsvikjo,60.18035,5.4646,3897,2021-10-06,2022-03-30,badetassen.no
60,Osebakkenstranda,59.151534,9.653091,3883,2021-10-06,2022-03-30,badetassen.no
133,Fåholmen badeplass,59.165627,5.878336,673,2021-10-06,2022-03-30,badetassen.no
59,Arendal Gjestehavn,58.459704,8.768082,3058,2021-10-06,2022-03-30,badetassen.no
61,Myklebust Sjøbad,58.94728,5.57011,3968,2021-10-06,2022-03-30,badetassen.no
128,Volsdalsberga,62.467929,6.198442,546,2021-10-06,2022-03-29,badetassen.no
1-74202,Hvervenbukta,59.83307,10.77133,28,2021-10-11,2022-03-28,yr.no
0-10056,Springvannsstemmen,58.24744,8.37392,583,2022-03-01,2022-03-29,yr.no
1-2426,Auglandsbukta,58.11995,7.96522,12,2021-10-07,2022-03-15,yr.no
18,Badedammen,58.972375,5.749064,1334,2021-10-06,2021-12-02,badetassen.no
130,Mosvatnet,59.42021,6.4474,764,2021-10-06,2021-11-29,badetassen.no
66,Åssiden Elvepark,59.750571,10.148371,3753,2021-10-06,2022-03-30,badetassen.no
1-2358944,Solbergvann,58.46287,8.73535,25,2021-10-08,2021-12-03,yr.no
101,Kvalsvik bad og friluftsområde,59.43516,5.240368,95,2021-10-06,2021-11-04,badetassen.no
1-3011,Brekkestø,58.19146,8.3582,14,2021-10-06,2022-03-23,yr.no
26,Øystese,60.38729,6.20512,216,2021-10-06,2021-12-03,badetassen.no
25,Norheimsund,60.36896,6.14862,199,2021-10-06,2021-12-06,badetassen.no
1-46598,Borrevannet,59.41157,10.43162,105,2022-03-01,2022-03-29,Horten kommune
10-998338,Kavringen brygge,59.9067,10.71972,128,2021-10-28,2022-03-29,yr.no
1-2576,Grunnevågkilen,58.06244,7.97371,10,2021-10-09,2022-03-19,yr.no
1-74019,Ormøya,59.87779,10.75989,10,2022-01-03,2022-03-08,yr.no
5,Aksdalsvatnet,59.41675,5.418333,626,2021-10-06,2021-11-04,badetassen.no
125,Sjøbadet,59.4302,10.651787,449,2021-10-06,2022-03-29,badetassen.no
64,Klopptjern,59.756008,10.204986,3665,2021-10-06,2022-03-30,badetassen.no
10-990121,Huk,59.89534,10.67733,11,2021-10-15,2022-03-11,yr.no
006,Storøyodden,59.887,10.5922,3552,2016-06-07,2021-10-18,badevann.no
0-10044,Bystranda,58.1457,8.00773,114,2021-10-06,2022-03-29,yr.no
1-304990,Brensholmen,69.59916,18.04022,14,2021-10-08,2022-02-23,yr.no
42,Bystranda,59.55894,9.24742,3732,2021-10-18,2022-03-30,badetassen.no
1-46598,Borrevannet,59.41157,10.43162,105,2022-03-01,2022-03-29,yr.no
1-7528,Stølsviga,58.4225,8.77026,40,2021-12-12,2022-03-25,yr.no
116,Rødstjødna,59.651068,6.314661,35,2021-10-06,2021-10-15,badetassen.no
0-10077,Skjærva,63.10164,7.73085,13,2021-11-04,2022-03-25,yr.no
046,Svalerødkilen,59.104,11.221,1098,2020-05-19,2021-09-21,badevann.no
011,Helleneset,60.4355,5.281,4724,2019-06-11,2022-03-30,badevann.no
2-3042021,Båtvika,70.91688,-8.7209,67,2021-11-15,2022-03-27,yr.no
1-277221,Skrova,68.16533,14.68865,49,2021-10-07,2022-03-24,yr.no
99,Bystranda,58.145704,8.007728,41,2021-08-31,2021-10-18,badetassen.no
003,Sjøstrand,59.7969,10.4983,2327,2016-05-24,2020-09-15,badevann.no
1-2592637,Lakseviga,58.0698,7.96362,23,2021-10-07,2022-03-26,yr.no
1-2275091,Oddanesand,58.96459,9.85993,14,2021-10-08,2022-03-25,yr.no
1-2289693,Steinsnes,59.40173,10.48536,62,2021-10-07,2022-03-27,yr.no
109,Sundssanden,63.86413,11.29408,605,2021-10-06,2022-03-29,badetassen.no
104,Grindafjord feriesenter,59.438308,5.481414,89,2021-10-06,2021-11-01,badetassen.no
51,Kråkeskarvet,60.473128,7.075648,101,2021-10-06,2021-11-08,badetassen.no
11-17685,Nordre Jarlsberg Brygge,59.56648,10.26757,133,2021-10-08,2022-03-29,yr.no
100,Sørenga,59.9007,10.7497,2970,2021-10-06,2022-03-29,badetassen.no
113,Klovsteinstjødna,59.70463,6.348284,37,2021-10-06,2021-10-15,badetassen.no
89,Almenningen bybad,59.409014,5.271909,104,2021-10-06,2021-11-04,badetassen.no
87,Vik,60.466249,7.066029,272,2021-10-06,2022-02-28,badetassen.no
120,Peraneset,60.205852,5.626298,43,2021-10-06,2021-10-08,badetassen.no
1-2788565,Flaskebekk brygge,59.86064,10.65299,13,2021-11-04,2022-02-28,yr.no
86,Gakorivannet,69.94133,23.20955,119,2021-10-06,2021-11-08,badetassen.no
1-2831377,Koigen,60.79371,11.05976,37,2021-10-06,2022-03-23,yr.no
0-10046,Kvalsvik bad og friluftsområde,59.43516,5.24037,15,2021-10-04,2022-03-29,yr.no
2-9254764,Quality Resort & Spa Son,59.51702,10.68416,16,2021-12-19,2022-03-27,yr.no
1-33090,Fjærholmen,59.22394,10.4644,12,2021-12-19,2022-03-27,yr.no
70,Vinnesholmen,60.15371,5.57708,641,2021-10-06,2022-03-30,badetassen.no
118,Telegrafbukta,69.63157,18.90523,314,2021-10-01,2022-01-11,badetassen.no
7,Grønnavigå,58.98838,5.73983,3950,2021-10-06,2022-03-30,badetassen.no
103,Eivindsvatnet,59.419217,5.300414,210,2021-10-06,2021-11-29,badetassen.no
105,Levanger Bystrand,63.73868,11.27526,679,2021-10-06,2022-03-30,badetassen.no
24,Hornnes Camping,58.55323,7.77995,175,2021-10-06,2021-10-18,badetassen.no
63,Gjerdesanden,62.50923,6.06663,2827,2021-10-06,2022-03-02,badetassen.no
1-275998,Ramberg,68.08991,13.22989,23,2021-10-10,2022-03-29,yr.no
38,Sjøsanden,58.018192,7.445817,25,2021-09-26,2021-10-18,badetassen.no
1-2039,Banken,58.01717,7.42994,12,2021-12-14,2022-03-25,yr.no
23,Kanalparken,58.76955,5.84833,724,2021-10-06,2021-11-08,badetassen.no
119,Øvstabøstølen,58.865634,6.568206,1228,2021-10-06,2021-11-27,badetassen.no
004,Hvalstrand,59.841,10.489,3016,2016-05-24,2021-10-13,badevann.no
4,Dragavika,59.401295,5.387442,11294,2019-05-21,2021-09-12,badetassen.no
0-10025,Sollerudstranda,59.91267,10.64748,103,2021-10-08,2022-03-30,yr.no
115,Nesøyra,59.641387,6.320553,13,2021-09-29,2021-10-22,badetassen.no
1-2254113,Tjuvholmen,59.90713,10.72218,150,2021-10-08,2022-03-29,yr.no
1-2446090,Astadbukta,62.90113,7.67995,29,2021-10-14,2022-03-13,yr.no
