time,water_temp,SN19710air_temperature0,SN19923air_temperature0,SN19430air_temperature0,SN19940air_temperature0,SN19923wind_speed0,SN19940wind_speed0,SN19940wind_speed1,SN18700cloud_area_fraction0,SN18700cloud_area_fraction1,SN17150cloud_area_fraction0,SN28380cloud_area_fraction0,SN50539mean(solar_irradiance PT1H)0,SN11500sum(duration_of_sunshine PT1H)0,SN19940mean(relative_humidity PT1H)0,SN26950mean(relative_humidity PT1H)0,SN19940mean(surface_downwelling_shortwave_flux_in_air PT1H)0
2016-05-24 07:00:00+00:00,11.7,8.5,8.0,11.4,9.5,5.5,1.5,,8,,8,8,0.737,0.0,85,75,45.5
2016-05-24 10:00:00+00:00,12.0,9.8,9.0,11.7,11.1,3.6,1.4,,8,,8,5,0.737,0.0,83,76,200.9
2016-05-24 14:00:00+00:00,12.1,13.0,12.7,14.5,14.2,4.2,1.4,,7,,8,5,0.737,0.0,66,78,330.0
2016-05-24 16:00:00+00:00,12.3,12.4,12.5,14.5,13.9,5.0,1.5,,7,,8,3,0.737,1.0,64,69,281.6
2016-05-25 07:00:00+00:00,11.6,11.9,10.0,13.1,11.6,3.4,1.8,,1,,8,4,0.737,0.0,59,55,392.8
2016-05-25 11:00:00+00:00,12.6,15.4,15.0,17.2,16.9,3.9,1.4,,1,,8,1,0.737,60.0,48,48,801.0
2016-05-25 13:00:00+00:00,12.9,17.5,17.1,19.3,18.9,3.7,1.2,,1,,8,1,0.737,60.0,42,43,763.4
2016-05-25 16:00:00+00:00,13.8,18.3,18.0,20.3,19.2,3.9,1.7,,1,,8,1,0.737,57.0,36,38,517.0
2016-05-26 07:00:00+00:00,12.5,12.0,10.6,12.1,12.4,3.5,1.3,,1,,8,1,0.737,60.0,51,50,419.6
2016-05-26 10:00:00+00:00,13.6,16.3,14.6,15.1,16.5,1.5,1.4,,2,,8,1,0.737,60.0,39,38,744.2
2016-05-26 13:00:00+00:00,14.2,19.1,17.8,19.3,19.5,1.8,1.3,,2,,8,1,0.737,60.0,35,35,782.9
2016-05-26 16:00:00+00:00,13.5,17.7,19.9,20.5,21.1,2.7,1.4,,4,,8,2,0.737,0.0,31,30,513.2
2016-05-27 07:00:00+00:00,13.5,15.4,13.9,17.7,17.6,2.5,1.1,,6,,8,2,0.737,60.0,55,51,391.5
2016-05-27 10:00:00+00:00,14.5,18.8,18.8,20.5,20.2,2.9,1.0,,5,,8,1,0.737,60.0,45,46,567.5
2016-05-27 14:00:00+00:00,15.3,19.2,19.1,21.5,20.3,2.4,0.9,,4,,8,1,0.737,56.0,33,34,415.4
2016-05-27 16:00:00+00:00,15.1,18.5,18.0,21.3,19.5,2.6,2.1,,4,,8,4,0.737,60.0,39,45,220.5
2016-05-28 07:00:00+00:00,14.0,11.9,11.5,14.2,13.0,2.0,1.6,,7,,8,7,0.737,0.0,64,67,172.4
2016-05-28 10:00:00+00:00,14.4,12.3,14.4,14.9,14.6,2.0,1.1,,7,,8,7,0.737,12.0,68,69,239.2
